GENUS,TPL_FAMILY,TPL_STATUS,TPL_URL
Chamaespartium,Fabaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Chamaespartium/
Chamaesparton,Fabaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Chamaesparton/
Chamaesphacos,Lamiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Lamiaceae/Chamaesphacos/
Chamaesyce,Euphorbiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Euphorbiaceae/Chamaesyce/
Chamaexeros,Asparagaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Asparagaceae/Chamaexeros/
Chamaezicactus,Cactaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Cactaceae/Chamaezicactus/
Chamarea,Apiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Apiaceae/Chamarea/
Chamberlainia,Brachytheciaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Brachytheciaceae/Chamberlainia/
Chambeyronia,Arecaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Arecaceae/Chambeyronia/
Chamelaucium,Myrtaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Myrtaceae/Chamelaucium/
Chameleion,Calymperaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Calymperaceae/Chameleion/
Chamelophyton,Orchidaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Chamelophyton/
Chamerion,Onagraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Onagraceae/Chamerion/
Chamguava,Myrtaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Myrtaceae/Chamguava/
Chamira,Brassicaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Brassicaceae/Chamira/
Chamissoa,Amaranthaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Amaranthaceae/Chamissoa/
Chamorchis,Orchidaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Chamorchis/
Champaca,Magnoliaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Magnoliaceae/Champaca/
Champereia,Opiliaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Opiliaceae/Champereia/
Championella,Acanthaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Acanthaceae/Championella/
Championia,Gesneriaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Gesneriaceae/Championia/
Chandonanthus,Anastrophyllaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Anastrophyllaceae/Chandonanthus/
Chandrasekharania,Poaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Poaceae/Chandrasekharania/
Chanekia,Lauraceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Lauraceae/Chanekia/
Changiostyrax,Styracaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Styracaceae/Changiostyrax/
Changium,Apiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Apiaceae/Changium/
Changnienia,Orchidaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Changnienia/
Chapelieria,Rubiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Rubiaceae/Chapelieria/
Chapmannia,Fabaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Chapmannia/
Chaptalia,Asteraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Chaptalia/
Charadranaetes,Asteraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Charadranaetes/
Charadrophila,Stilbaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Stilbaceae/Charadrophila/
Chardinia,Asteraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Chardinia/
Charesia,Caryophyllaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Caryophyllaceae/Charesia/
Charianthus,Melastomataceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Melastomataceae/Charianthus/
Charidion,Ochnaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Ochnaceae/Charidion/
Chariessa,Cardiopteridaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Cardiopteridaceae/Chariessa/
Charlwoodia,Asparagaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Asparagaceae/Charlwoodia/
Charpentiera,Amaranthaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Amaranthaceae/Charpentiera/
Chartolepis,Asteraceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Chartolepis/
Chartoloma,Brassicaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Brassicaceae/Chartoloma/
Chasallia,Rubiaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Rubiaceae/Chasallia/
Chascanum,Verbenaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Verbenaceae/Chascanum/
Chascolytrum,Poaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Poaceae/Chascolytrum/
Chascotheca,Phyllanthaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Phyllanthaceae/Chascotheca/
Chasechloa,Poaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Poaceae/Chasechloa/
Chaseella,Orchidaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Chaseella/
Chasmanthe,Iridaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Iridaceae/Chasmanthe/
Chasmanthera,Menispermaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Menispermaceae/Chasmanthera/
Chasmanthium,Poaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Poaceae/Chasmanthium/
Chasmatophyllum,Aizoaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Aizoaceae/Chasmatophyllum/
Chasme,Proteaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Proteaceae/Chasme/
Chasmia,Bignoniaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Bignoniaceae/Chasmia/
Chasmone,Fabaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Chasmone/
Chasmopodium,Poaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Poaceae/Chasmopodium/
Chassalia,Rubiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Rubiaceae/Chassalia/
Chatinia,Loranthaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Loranthaceae/Chatinia/
Chaubardia,Orchidaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Chaubardia/
Chaubardiella,Orchidaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Chaubardiella/
Chauliodon,Orchidaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Chauliodon/
Chaunanthus,Brassicaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Brassicaceae/Chaunanthus/
Chaunochiton,Olacaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Olacaceae/Chaunochiton/
Chaunostoma,Lamiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Lamiaceae/Chaunostoma/
Chautemsia,Gesneriaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Gesneriaceae/Chautemsia/
Chavica,Piperaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Piperaceae/Chavica/
Chaydaia,Rhamnaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Rhamnaceae/Chaydaia/
Chazaliella,Rubiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Rubiaceae/Chazaliella/
Cheesemania,Brassicaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Brassicaceae/Cheesemania/
Cheilanthes,Pteridaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/P/Pteridaceae/Cheilanthes/
Cheilanthopsis,Woodsiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/P/Woodsiaceae/Cheilanthopsis/
Cheiloclinium,Celastraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Celastraceae/Cheiloclinium/
Cheilococca,Fabaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Cheilococca/
Cheilocostus,Costaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Costaceae/Cheilocostus/
Cheilogramma,Polypodiaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/P/Polypodiaceae/Cheilogramma/
Cheilolejeunea,Lejeuneaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Lejeuneaceae/Cheilolejeunea/
Cheilolepton,Dryopteridaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/P/Dryopteridaceae/Cheilolepton/
Cheilophyllum,Scrophulariaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Scrophulariaceae/Cheilophyllum/
Cheiloplecton,Pteridaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/P/Pteridaceae/Cheiloplecton/
Cheilosa,Euphorbiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Euphorbiaceae/Cheilosa/
Cheilosandra,Gesneriaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Gesneriaceae/Cheilosandra/
Cheilosoria,Pteridaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/P/Pteridaceae/Cheilosoria/
Cheilotheca,Ericaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Ericaceae/Cheilotheca/
Cheilothela,Ditrichaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Ditrichaceae/Cheilothela/
Cheiradenia,Orchidaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Cheiradenia/
Cheiranthera,Pittosporaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Pittosporaceae/Cheiranthera/
Cheiranthesimum,Brassicaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Brassicaceae/Cheiranthesimum/
Cheiranthus,Brassicaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Brassicaceae/Cheiranthus/
Cheiri,Brassicaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Brassicaceae/Cheiri/
Cheiridopsis,Aizoaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Aizoaceae/Cheiridopsis/
Cheirinia,Brassicaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Brassicaceae/Cheirinia/
Cheirisanthera,Gesneriaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Gesneriaceae/Cheirisanthera/
Cheirodendron,Araliaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Araliaceae/Cheirodendron/
Cheiroglossa,Ophioglossaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/P/Ophioglossaceae/Cheiroglossa/
Cheirolaena,Malvaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Malvaceae/Cheirolaena/
Cheirolophus,Asteraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Cheirolophus/
Cheiropleuria,Dipteridaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/P/Dipteridaceae/Cheiropleuria/
Cheiropteris,Polypodiaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/P/Polypodiaceae/Cheiropteris/
Cheirostylis,Orchidaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Cheirostylis/
Cheirysimum,Brassicaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Brassicaceae/Cheirysimum/
Chelidonium,Papaveraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Papaveraceae/Chelidonium/
Cheliusia,Asteraceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Cheliusia/
Chelonanthus,Gentianaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Gentianaceae/Chelonanthus/
Chelone,Plantaginaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Plantaginaceae/Chelone/
Chelonespermum,Sapotaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Sapotaceae/Chelonespermum/
Chelonistele,Orchidaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Chelonistele/
Chelonopsis,Lamiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Lamiaceae/Chelonopsis/
Chelyocarpus,Arecaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Arecaceae/Chelyocarpus/
Chelyorchis,Orchidaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Chelyorchis/
Chengiopanax,Araliaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Araliaceae/Chengiopanax/
Chenia,Pottiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Pottiaceae/Chenia/
Chenolea,Amaranthaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Amaranthaceae/Chenolea/
Chenopodiopsis,Scrophulariaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Scrophulariaceae/Chenopodiopsis/
Chenopodium,Amaranthaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Amaranthaceae/Chenopodium/
Cherina,Asteraceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Cherina/
Chersodoma,Asteraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Chersodoma/
Chesneya,Fabaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Chesneya/
Chesniella,Fabaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Chesniella/
Chetyson,Crassulaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Crassulaceae/Chetyson/
Chevalierella,Poaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Poaceae/Chevalierella/
Chevreulia,Asteraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Chevreulia/
Cheyniana,Myrtaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Myrtaceae/Cheyniana/
Chiangiodendron,Achariaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Achariaceae/Chiangiodendron/
Chiapasophyllum,Cactaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Cactaceae/Chiapasophyllum/
Chiarinia,Sapindaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Sapindaceae/Chiarinia/
Chiastocaulon,Plagiochilaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Plagiochilaceae/Chiastocaulon/
Chiastophyllum,Crassulaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Crassulaceae/Chiastophyllum/
Chiazospermum,Papaveraceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Papaveraceae/Chiazospermum/
Chicharronia,Combretaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Combretaceae/Chicharronia/
Chichicaste,Loasaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Loasaceae/Chichicaste/
Chidlowia,Fabaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Chidlowia/
Chieniodendron,Annonaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Annonaceae/Chieniodendron/
Chieniopteris,Blechnaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/P/Blechnaceae/Chieniopteris/
Chihuahuana,Asteraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Chihuahuana/
Chikusichloa,Poaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Poaceae/Chikusichloa/
Childsia,Asteraceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Childsia/
Chilenia,Cactaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Cactaceae/Chilenia/
Chileobryon,Leskeaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Leskeaceae/Chileobryon/
Chileranthemum,Acanthaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Acanthaceae/Chileranthemum/
Chiliadenus,Asteraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Chiliadenus/
Chiliocephalum,Asteraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Chiliocephalum/
Chiliophyllum,Asteraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Chiliophyllum/
Chiliotrichiopsis,Asteraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Chiliotrichiopsis/
Chiliotrichum,Asteraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Chiliotrichum/
Chilita,Cactaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Cactaceae/Chilita/
Chilmoria,Achariaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Achariaceae/Chilmoria/
Chilocalyx,Cleomaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Cleomaceae/Chilocalyx/
Chilocardamum,Brassicaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Brassicaceae/Chilocardamum/
Chilocarpus,Apocynaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Apocynaceae/Chilocarpus/
Chilodia,Lamiaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Lamiaceae/Chilodia/
Chiloglottis,Orchidaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Chiloglottis/
Chilopogon,Orchidaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Chilopogon/
Chilopsis,Bignoniaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Bignoniaceae/Chilopsis/
Chiloschista,Orchidaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Chiloschista/
Chiloscyphus,Lophocoleaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Lophocoleaceae/Chiloscyphus/
Chimantaea,Asteraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Chimantaea/
Chimaphila,Ericaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Ericaceae/Chimaphila/
Chimarrhis,Rubiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Rubiaceae/Chimarrhis/
Chimborazoa,Sapindaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Sapindaceae/Chimborazoa/
Chimonanthus,Calycanthaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Calycanthaceae/Chimonanthus/
Chimonobambusa,Poaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Poaceae/Chimonobambusa/
Chimonocalamus,Poaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Poaceae/Chimonocalamus/
Chingia,Thelypteridaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/P/Thelypteridaceae/Chingia/
Chingiacanthus,Acanthaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Acanthaceae/Chingiacanthus/
Chingyungia,Orobanchaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Orobanchaceae/Chingyungia/
Chiococca,Rubiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Rubiaceae/Chiococca/
Chionachne,Poaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Poaceae/Chionachne/
Chionanthus,Oleaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Oleaceae/Chionanthus/
Chione,Rubiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Rubiaceae/Chione/
Chionice,Rosaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Rosaceae/Chionice/
Chionocharis,Boraginaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Boraginaceae/Chionocharis/
Chionochloa,Poaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Poaceae/Chionochloa/
Chionogentias,Gentianaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Gentianaceae/Chionogentias/
Chionographis,Melanthiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Melanthiaceae/Chionographis/
Chionolaena,Asteraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Chionolaena/
Chionoloma,Pottiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Pottiaceae/Chionoloma/
Chionopappus,Asteraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Chionopappus/
Chionophila,Plantaginaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Plantaginaceae/Chionophila/
Chionostomum,Sematophyllaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Sematophyllaceae/Chionostomum/
Chionothrix,Amaranthaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Amaranthaceae/Chionothrix/
Chiovendaea,Fabaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Chiovendaea/
Chiranthodendron,Malvaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Malvaceae/Chiranthodendron/
Chiranthomontodendron,Malvaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Malvaceae/Chiranthomontodendron/
Chiratia,Lythraceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Lythraceae/Chiratia/
Chiridium,Loranthaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Loranthaceae/Chiridium/
Chirita,Gesneriaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Gesneriaceae/Chirita/
Chiritopsis,Gesneriaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Gesneriaceae/Chiritopsis/
Chironia,Gentianaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Gentianaceae/Chironia/
Chiropetalum,Euphorbiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Euphorbiaceae/Chiropetalum/
Chisocheton,Meliaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Meliaceae/Chisocheton/
Chitalpa,Bignoniaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Bignoniaceae/Chitalpa/
Chitonia,Zygophyllaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Zygophyllaceae/Chitonia/
Chlaenandra,Menispermaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Menispermaceae/Chlaenandra/
Chlaenobolus,Asteraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Chlaenobolus/
Chlaenosciadium,Apiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Apiaceae/Chlaenosciadium/
Chlamydacanthus,Acanthaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Acanthaceae/Chlamydacanthus/
Chlamydanthus,Thymelaeaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Thymelaeaceae/Chlamydanthus/
Chlamydoboea,Gesneriaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Gesneriaceae/Chlamydoboea/
Chlamydocardia,Acanthaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Acanthaceae/Chlamydocardia/
Chlamydocarya,Icacinaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Icacinaceae/Chlamydocarya/
Chlamydogramme,Tectariaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/P/Tectariaceae/Chlamydogramme/
Chlamydojatropha,Euphorbiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Euphorbiaceae/Chlamydojatropha/
Chlamydophora,Asteraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Chlamydophora/
Chlamydophytum,Balanophoraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Balanophoraceae/Chlamydophytum/
Chlamydostachya,Acanthaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Acanthaceae/Chlamydostachya/
Chlamysperma,Asteraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Chlamysperma/
Chlidanthus,Amaryllidaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Amaryllidaceae/Chlidanthus/
Chloanthes,Lamiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Lamiaceae/Chloanthes/
Chlora,Gentianaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Gentianaceae/Chlora/
Chloracantha,Asteraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Chloracantha/
Chloraea,Orchidaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Chloraea/
Chloranthelia,Lepidoziaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Lepidoziaceae/Chloranthelia/
Chloranthus,Chloranthaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Chloranthaceae/Chloranthus/
Chloris,Poaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Poaceae/Chloris/
Chlorocalymma,Poaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Poaceae/Chlorocalymma/
Chlorocardium,Lauraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Lauraceae/Chlorocardium/
Chlorocarpa,Achariaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Achariaceae/Chlorocarpa/
Chlorocrambe,Brassicaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Brassicaceae/Chlorocrambe/
Chlorocyathus,Apocynaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Apocynaceae/Chlorocyathus/
Chlorogalum,Asparagaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Asparagaceae/Chlorogalum/
Chloroleucon,Fabaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Chloroleucon/
Chloromeles,Rosaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Rosaceae/Chloromeles/
Chloropatane,Euphorbiaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Euphorbiaceae/Chloropatane/
Chlorophora,Moraceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Moraceae/Chlorophora/
Chlorophytum,Asparagaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Asparagaceae/Chlorophytum/
Chloropsis,Poaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Poaceae/Chloropsis/
Chlorosa,Orchidaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Chlorosa/
Chlorospatha,Araceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Araceae/Chlorospatha/
Chloroxylon,Rutaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Rutaceae/Chloroxylon/
Chnoophora,Cyatheaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/P/Cyatheaceae/Chnoophora/
Chodaphyton,Scrophulariaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Scrophulariaceae/Chodaphyton/
Choerospondias,Anacardiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Anacardiaceae/Choerospondias/
Choisya,Rutaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Rutaceae/Choisya/
Chomelia,Rubiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Rubiaceae/Chomelia/
