GENUS,TPL_FAMILY,TPL_STATUS,TPL_URL
Acanthocoleus,Lejeuneaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Lejeuneaceae/Acanthocoleus/
Acanthodesmos,Asteraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Acanthodesmos/
Acanthodium,Acanthaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Acanthaceae/Acanthodium/
Acanthodium,Sematophyllaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Sematophyllaceae/Acanthodium/
Acanthogilia,Polemoniaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Polemoniaceae/Acanthogilia/
Acantholejeunea,Lejeuneaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Lejeuneaceae/Acantholejeunea/
Acantholimon,Plumbaginaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Plumbaginaceae/Acantholimon/
Acantholippia,Verbenaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Verbenaceae/Acantholippia/
Acantholobivia,Cactaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Cactaceae/Acantholobivia/
Acanthomintha,Lamiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Lamiaceae/Acanthomintha/
Acanthonema,Gesneriaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Gesneriaceae/Acanthonema/
Acanthopale,Acanthaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Acanthaceae/Acanthopale/
Acanthopanax,Araliaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Araliaceae/Acanthopanax/
Acanthopetalus,Cactaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Cactaceae/Acanthopetalus/
Acanthophaca,Fabaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Acanthophaca/
Acanthophippium,Orchidaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Acanthophippium/
Acanthophoenix,Arecaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Arecaceae/Acanthophoenix/
Acanthophyllum,Caryophyllaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Caryophyllaceae/Acanthophyllum/
Acanthoprasium,Lamiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Lamiaceae/Acanthoprasium/
Acanthopsis,Acanthaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Acanthaceae/Acanthopsis/
Acanthorhipsalis,Cactaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Cactaceae/Acanthorhipsalis/
