"","TPL_FAMILY","TPL_ORDER","APGIII_NUMBER"
"155","Austrotaxaceae","Pinales",NA
"156","Avenaceae","Poales",NA
"157","Averrhoaceae","Oxalidales",NA
"158","Avetraceae","Dioscoreales",NA
"159","Avicenniaceae","Lamiales",NA
"160","Azaleaceae","Ericales",NA
"161","Azimaceae","Brassicales",NA
"162","Baeckeaceae","Myrtales",NA
"163","Balanitaceae","Zygophyllales",NA
"164","Balanopaceae","Malpighiales",192
"165","Balanophoraceae","Santalales",276
"166","Balsameaceae","Sapindales",NA
"167","Balsaminaceae","Ericales",323
"168","Bambusaceae","Poales",NA
"169","Barbaceniaceae","Pandanales",NA
"170","Barbeuiaceae","Caryophyllales",302
"171","Barbeyaceae","Rosales",148
"172","Barclayaceae","Nymphaeales",NA
"173","Barringtoniaceae","Ericales",NA
"174","Basellaceae","Caryophyllales",311
"175","Bataceae","Brassicales",264
"176","Baueraceae","Oxalidales",NA
"177","Bauhiniaceae","Fabales",NA
"178","Baxteriaceae","unplacedCommelinid",NA
"179","Begoniaceae","Cucurbitales",170
"180","Behniaceae","Asparagales",NA
"181","Belangeraceae","Oxalidales",NA
"182","Belloniaceae","Lamiales",NA
"183","Bembiciaceae","Malpighiales",NA
"184","Berberidaceae","Ranunculales",113
"185","Berberidopsidaceae","Berberidopsidales",275
"186","Berryaceae","Malvales",NA
"187","Bersamaceae","Geraniales",NA
"188","Bertyaceae","Malpighiales",NA
"189","Berzeliaceae","Bruniales",NA
"190","Besleriaceae","Lamiales",NA
"191","Betaceae","Caryophyllales",NA
"192","Betulaceae","Fagales",162
"193","Biebersteiniaceae","Sapindales",235
"194","Bifariaceae","Santalales",NA
"195","Bignoniaceae","Lamiales",379
"196","Bischofiaceae","Malpighiales",NA
"197","Bixaceae","Malvales",253
"198","Blakeaceae","Myrtales",NA
"199","Blandfordiaceae","Asparagales",64
"200","Blattiaceae","Myrtales",NA
"201","Blepharocaryaceae","Sapindales",NA
"202","Blitaceae","Caryophyllales",NA
"203","Blyxaceae","Alismatales",NA
"204","Boerlagellaceae","Ericales",NA
"205","Bogutchanthaceae","fossil_Hamamelidales",NA
"206","Bolivaraceae","Lamiales",NA
"207","Bombacaceae","Malvales",NA
"208","Bonnetiaceae","Malpighiales",212
"209","Bontiaceae","Lamiales",NA
"210","Boopidaceae","Asterales",NA
"211","Boraginaceae","Boraginales",356
"212","Borassaceae","Arecales",NA
"213","Boroniaceae","Sapindales",NA
"214","Borthwickiaceae","Brassicales",NA
"215","Boryaceae","Asparagales",63
"216","Botryodendraceae","Apiales",NA
"217","Bougainvilleaceae","Caryophyllales",NA
"218","Boweniaceae","Cycadales",NA
"219","Brachycaulaceae","Saxifragales",NA
"220","Brassicaceae","Brassicales",273
"221","Bretschneideraceae","Brassicales",NA
"222","Brexiaceae","Celastrales",NA
"223","Bromaceae","Poales",NA
"224","Bromeliaceae","Poales",92
"225","Browalliaceae","Solanales",NA
"226","Brownlowiaceae","Malvales",NA
"227","Brunelliaceae","Oxalidales",179
"228","Bruniaceae","Bruniales",403
"229","Brunoniaceae","Asterales",NA
"230","Brunsvigiaceae","Asparagales",NA
"231","Bryoniaceae","Cucurbitales",NA
"232","Buchneraceae","Lamiales",NA
"233","Bucidaceae","Myrtales",NA
"234","Buddlejaceae","Lamiales",NA
"235","Buglossaceae","Boraginales",NA
"236","Bulbocodiaceae","Liliales",NA
"237","Bumeliaceae","Ericales",NA
"238","Bupleuraceae","Apiales",NA
