"","TPL_FAMILY","TPL_ORDER","APGIII_NUMBER"
"677","Haemanthaceae","Asparagales",NA
"678","Haemodoraceae","Commelinales",81
"679","Halesiaceae","Ericales",NA
"680","Hallieraceae","Lamiales",NA
"681","Halocarpaceae","Pinales",NA
"682","Halophilaceae","Alismatales",NA
"683","Halophytaceae","Caryophyllales",312
"684","Haloragaceae","Saxifragales",138
"685","Hamamelidaceae","Saxifragales",128
"686","Hameliaceae","Gentianales",NA
"687","Hanguanaceae","Commelinales",77
"688","Haptanthaceae","Buxales",120
"689","Harmandiaceae","Santalales",NA
"690","Hebenstretiaceae","Lamiales",NA
"691","Hectorellaceae","Caryophyllales",NA
"692","Hederaceae","Apiales",NA
"693","Hedyosmaceae","Chloranthales",NA
"694","Hedyotidaceae","Gentianales",NA
"695","Hedysaraceae","Fabales",NA
"696","Heisteriaceae","Santalales",NA
"697","Heleniaceae","Asterales",NA
"698","Heliamphoraceae","Ericales",NA
"699","Helianthaceae","Asterales",NA
"700","Helianthemaceae","Malvales",NA
"701","Helichrysaceae","Asterales",NA
"702","Heliconiaceae","Zingiberales",84
"703","Helicteraceae","Malvales",NA
"704","Heliotropiaceae","Boraginales",NA
"705","Helleboraceae","Ranunculales",NA
"706","Heloniadaceae","Liliales",NA
"707","Helosidaceae","Santalales",NA
"708","Helwingiaceae","Aquifoliales",388
"709","Hemerocallidaceae","Asparagales",NA
"710","Hemimeridaceae","Lamiales",NA
"711","Hemiphylacaceae","Asparagales",NA
"712","Henriqueziaceae","Gentianales",NA
"713","Henslowiaceae","Myrtales",NA
"714","Hermanniaceae","Malvales",NA
"715","Hernandiaceae","Laurales",26
"716","Herniariaceae","Caryophyllales",NA
"717","Herreriaceae","Asparagales",NA
"718","Hesperocallidaceae","Asparagales",NA
"719","Heterantheraceae","Commelinales",NA
"720","Heteropyxidaceae","Myrtales",NA
"721","Heterostylaceae","Alismatales",NA
"722","Hibbertiaceae","Dilleniales",NA
"723","Hibiscaceae","Malvales",NA
"724","Hilleriaceae","Caryophyllales",NA
"725","Himantandraceae","Magnoliales",19
"726","Hippocastanaceae","Sapindales",NA
"727","Hippocrateaceae","Celastrales",NA
"728","Hippomanaceae","Malpighiales",NA
"729","Hippophaeaceae","Rosales",NA
"730","Hippuridaceae","Lamiales",NA
"731","Hirtellaceae","Malpighiales",NA
"732","Holacanthaceae","Sapindales",NA
"733","Holcaceae","Poales",NA
"734","Homaliaceae","Malpighiales",NA
"735","Hopkinsiaceae","Poales",NA
"736","Hoplestigmataceae","Boraginales",NA
"737","Hordeaceae","Poales",NA
"738","Hornschuchiaceae","Magnoliales",NA
"739","Hortensiaceae","Cornales",NA
"740","Hortoniaceae","Laurales",NA
"741","Hostaceae","Asparagales",NA
"742","Hottoniaceae","Ericales",NA
"743","Houstoniaceae","Gentianales",NA
"744","Huaceae","Oxalidales",173
"745","Huerteaceae","Huerteales",NA
"746","Hugoniaceae","Malpighiales",NA
"747","Humbertiaceae","Solanales",NA
"748","Humiriaceae","Malpighiales",206
"749","Humulaceae","Rosales",NA
"750","Hyacinthaceae","Asparagales",NA
"751","Hydatellaceae","Nymphaeales",2
"752","Hydnoraceae","Piperales",14
"753","Hydrangeaceae","Cornales",321
"754","Hydrastidaceae","Ranunculales",NA
"755","Hydrillaceae","Alismatales",NA
"756","Hydroceraceae","Ericales",NA
"757","Hydrocharitaceae","Alismatales",34
"758","Hydrocotylaceae","Apiales",NA
"759","Hydrogetonaceae","Alismatales",NA
"760","Hydroleaceae","Solanales",361
"761","Hydropeltidaceae","Nymphaeales",NA
"762","Hydrophylacaceae","Gentianales",NA
"763","Hydrophyllaceae","Boraginales",NA
"764","Hydrostachyaceae","Cornales",317
"765","Hymenocardiaceae","Malpighiales",NA
"766","Hyoscyamaceae","Solanales",NA
"767","Hypecoaceae","Ranunculales",NA
"768","Hyperantheraceae","Brassicales",NA
"769","Hypericaceae","Malpighiales",214
"770","Hypopityaceae","Ericales",NA
"771","Hypoxidaceae","Asparagales",67
"772","Hypseocharitaceae","Geraniales",NA
"773","Icacinaceae","NearGarryales",347
"774","Idiospermaceae","Laurales",NA
"775","Ilicaceae","Aquifoliales",NA
"776","Illecebraceae","Caryophyllales",NA
"777","Illiciaceae","Austrobaileyales",NA
"778","Illigeraceae","Laurales",NA
"779","Impatientaceae","Ericales",NA
"780","Imperatoriaceae","Apiales",NA
"781","Inocarpaceae","Fabales",NA
"782","Inulaceae","Asterales",NA
"783","Iodaceae","NearGarryales",NA
"784","Ionidiaceae","Malpighiales",NA
"785","Iriarteaceae","Arecales",NA
"786","Iridaceae","Asparagales",71
"787","Irvingiaceae","Malpighiales",207
"788","Isatidaceae","Brassicales",NA
"789","Isnardiaceae","Myrtales",NA
"790","Isophysidaceae","Asparagales",NA
"791","Iteaceae","Saxifragales",131
"792","Ivaceae","Asterales",NA
"793","Ixerbaceae","Crossosomatales",NA
"794","Ixiaceae","Asparagales",NA
"795","Ixioliriaceae","Asparagales",70
"796","Ixiolirionaceae","Asparagales",NA
"797","Ixonanthaceae","Malpighiales",209
"798","Jalapaceae","Caryophyllales",NA
"799","Jamboliferaceae","Sapindales",NA
"800","Japonoliriaceae","Petrosaviales",NA
"801","Jasionaceae","Asterales",NA
"802","Jasminiaceae","Lamiales",NA
"803","Johnsoniaceae","Asparagales",NA
"804","Joinvilleaceae","Poales",104
"805","Juglandaceae","Fagales",159
"806","Julianiaceae","Sapindales",NA
"807","Juncaceae","Poales",98
"808","Juncaginaceae","Alismatales",37
"809","Juniperaceae","Pinales",NA
"810","Jussiaeaceae","Myrtales",NA
"811","Justiciaceae","Lamiales",NA
"812","Kadsuraceae","Austrobaileyales",NA
"813","Kaliphoraceae","Solanales",NA
"814","Kalmiaceae","Ericales",NA
"815","Kaniaceae","Myrtales",NA
"816","Kasicarpaceae","fossilSarbaicarpales_near_Hamamelidales",NA
"817","Kiggelariaceae","Malpighiales",NA
"818","Kingdoniaceae","Ranunculales",NA
"819","Kingiaceae","unplacedCommelinid",NA
"820","Kirengeshomaceae","Cornales",NA
"821","Kirkiaceae","Sapindales",237
"822","Kobresiaceae","Poales",NA
"823","Koeberliniaceae","Brassicales",263
"824","Koelreuteriaceae","Sapindales",NA
"825","Krameriaceae","Zygophyllales",141
"826","Labiatae","Lamiales",NA
"827","Lacandoniaceae","Pandanales",NA
"828","Lachenaliaceae","Asparagales",NA
"829","Lacistemataceae","Malpighiales",200
"830","Lactoridaceae","Piperales",13
"831","Lactucaceae","Asterales",NA
"832","Lagerstroemiaceae","Myrtales",NA
"833","Lagoeciaceae","Apiales",NA
"834","Laguraceae","Poales",NA
"835","Lamiaceae","Lamiales",373
"836","Lampsanaceae","Asterales",NA
"837","Lanariaceae","Asparagales",66
"838","Langsdorffiaceae","Santalales",NA
"839","Lantanaceae","Lamiales",NA
"840","Lapageriaceae","Liliales",NA
"841","Lardizabalaceae","Ranunculales",111
"842","Lasiaceae","Alismatales",NA
"843","Lasiopetalaceae","Malvales",NA
"844","Lauraceae","Laurales",28
"845","Lawsoniaceae","Myrtales",NA
"846","Laxmanniaceae","Asparagales",NA
"847","Lecythidaceae","Ericales",328
"848","Ledaceae","Ericales",NA
"849","Ledocarpaceae","Geraniales",NA
"850","Leeaceae","Vitales",NA
"851","Legnotidaceae","Malpighiales",NA
"852","Leguminosae","Fabales",NA
"853","Leitneriaceae","Sapindales",NA
"854","Lemnaceae","Alismatales",NA
"855","Lennoaceae","Boraginales",NA
"856","Lentibulariaceae","Lamiales",377
"857","Lentiscaceae","Sapindales",NA
"858","Leoniaceae","Malpighiales",NA
"859","Leonticaceae","Ranunculales",NA
"860","Lepidobotryaceae","Celastrales",171
"861","Lepidocarpaceae","Proteales",NA
"862","Lepidocaryaceae","Arecales",NA
"863","Lepidocerataceae","Santalales",NA
"864","Leptaulaceae","Aquifoliales",NA
"865","Leptospermaceae","Myrtales",NA
"866","Lepturaceae","Poales",NA
"867","Lepuropetalaceae","Celastrales",NA
"868","Leucojaceae","Asparagales",NA
"869","Leuctenbergiaceae","Caryophyllales",NA
"870","Libocedraceae","Pinales",NA
"871","Licaniaceae","Malpighiales",NA
"872","Ligustraceae","Lamiales",NA
"873","Lilaeaceae","Alismatales",NA
"874","Liliaceae","Liliales",61
"875","Limeaceae","Caryophyllales",300
"876","Limnanthaceae","Brassicales",261
"877","Limnocharitaceae","Alismatales",NA
"878","Limodoraceae","Asparagales",NA
"879","Limoniaceae","Caryophyllales",NA
"880","Limosellaceae","Lamiales",NA
"881","Linaceae","Malpighiales",208
"882","Linariaceae","Lamiales",NA
"883","Lindenbergiaceae","Lamiales",NA
"884","Linderniaceae","Lamiales",371
"885","Lindleyaceae","Rosales",NA
"886","Linnaeaceae","Dipsacales",NA
"887","Liparidaceae","Asparagales",NA
"888","Lippayaceae","Gentianales",NA
"889","Liriaceae","Liliales",NA
"890","Liriodendraceae","Magnoliales",NA
"891","Lissocarpaceae","Ericales",NA
"892","Littorellaceae","Lamiales",NA
"893","Loasaceae","Cornales",322
"894","Lobeliaceae","Asterales",NA
"895","Loganiaceae","Gentianales",352
"896","Loliaceae","Poales",NA
"897","Lomandraceae","Asparagales",NA
"898","Loniceraceae","Dipsacales",NA
"899","Lopeziaceae","Myrtales",NA
"900","Lophiocarpaceae","Caryophyllales",301
"901","Lophiolaceae","Dioscoreales",NA
"902","Lophiraceae","Malpighiales",NA
"903","Lophophytaceae","Santalales",NA
"904","Lophopyxidaceae","Malpighiales",197
"905","Loranthaceae","Santalales",280
"906","Lotaceae","Fabales",NA
"907","Lowiaceae","Zingiberales",83
"908","Lupulaceae","Rosales",NA
"909","Luxemburgiaceae","Malpighiales",NA
"910","Luzuriagaceae","Liliales",NA
"911","Lychnidaceae","Caryophyllales",NA
"912","Lyciaceae","Solanales",NA
"913","Lyginiaceae","Poales",NA
"914","Lygodisodeaceae","Gentianales",NA
"915","Lysimachiaceae","Ericales",NA
"916","Lythraceae","Myrtales",219
"917","Macarisiaceae","Malpighiales",NA
"918","Mackinlayaceae","Apiales",NA
"919","Madiaceae","Asterales",NA
"920","Maesaceae","Ericales",NA
"921","Magnoliaceae","Magnoliales",17
"922","Malaceae","Rosales",NA
"923","Malesherbiaceae","Malpighiales",NA
"924","Malortieaceae","Arecales",NA
"925","Malpighiaceae","Malpighiales",191
"926","Malvaceae","Malvales",250
"927","Mangiaceae","Malpighiales",NA
"928","Manicariaceae","Arecales",NA
"929","Mapaniaceae","Poales",NA
"930","Marantaceae","Zingiberales",87
"931","Marathraceae","Malpighiales",NA
"932","Marcgraviaceae","Ericales",324
"933","Martyniaceae","Lamiales",384
"934","Mastixiaceae","Cornales",NA
"935","Matricariaceae","Asterales",NA
"936","Maundiaceae","Alismatales",NA
"937","Mayacaceae","Poales",96
"938","Mazacaceae","Lamiales",NA
"939","Medeolaceae","Liliales",NA
"940","Medusagynaceae","Malpighiales",NA
"941","Medusandraceae","Saxifragales",NA
"942","Melaleucaceae","Myrtales",NA
"943","Melampyraceae","Lamiales",NA
"944","Melanophyllaceae","Apiales",NA
"945","Melanthiaceae","Liliales",53
"946","Melastomataceae","Myrtales",223
"947","Meliaceae","Sapindales",243
"948","Melianthaceae","Geraniales",217
"949","Melicaceae","Poales",NA
"950","Meliosmaceae","Sabiales",NA
"951","Melittidaceae","Lamiales",NA
"952","Melochiaceae","Malvales",NA
"953","Memecylaceae","Myrtales",NA
"954","Mendonciaceae","Lamiales",NA
"955","Menispermaceae","Ranunculales",112
"956","Menthaceae","Lamiales",NA
"957","Menyanthaceae","Asterales",397
"958","Menzieziaceae","Ericales",NA
"959","Mercurialaceae","Malpighiales",NA
"960","Merenderaceae","Liliales",NA
"961","Mesembryaceae","Caryophyllales",NA
"962","Mesembryanthemaceae","Caryophyllales",NA
"963","Mespilaceae","Rosales",NA
"964","Metasequioaceae","Pinales",NA
"965","Metteniusaceae","NearGarryales",346
"966","Meyeniaceae","Lamiales",NA
"967","Miconiaceae","Myrtales",NA
"968","Micrantheaceae","Malpighiales",NA
"969","Microbiotaceae","Pinales",NA
"970","Microcachrydaceae","Pinales",NA
"971","Microcycadaceae","Cycadales",NA
"972","Microstrobaceae","Pinales",NA
"973","Microteaceae","Caryophyllales",NA
"974","Miliaceae","Poales",NA
"975","Milulaceae","Asparagales",NA
"976","Mimosaceae","Fabales",NA
"977","Minuartiaceae","Caryophyllales",NA
"978","Mirabilidaceae","Caryophyllales",NA
"979","Misodendraceae","Santalales",281
"980","Mitrastemonaceae","Ericales",343
"981","Miyoshiaceae","Petrosaviales",NA
"982","Modeccaceae","Malpighiales",NA
"983","Molluginaceae","Caryophyllales",308
"984","Monardaceae","Lamiales",NA
"985","Monimiaceae","Laurales",27
"986","Monodoraceae","Magnoliales",NA
"987","Monotaceae","Malvales",NA
"988","Monotropaceae","Ericales",NA
"989","Monsteraceae","Alismatales",NA
"990","Montiaceae","Caryophyllales",309
"991","Montiniaceae","Solanales",359
"992","Moraceae","Rosales",154
"993","Moreniaceae","Arecales",NA
"994","Morinaceae","Dipsacales",NA
"995","Moringaceae","Brassicales",259
"996","Mouririaceae","Myrtales",NA
"997","Moutabeaceae","Fabales",NA
"998","Muntingiaceae","Malvales",248
"999","Musaceae","Zingiberales",85
"1000","Mutisiaceae","Asterales",NA
"1001","Myodocarpaceae","Apiales",412
"1002","Myoporaceae","Lamiales",NA
"1003","Myricaceae","Fagales",158
"1004","Myriophyllaceae","Saxifragales",NA
"1005","Myristicaceae","Magnoliales",16
"1006","Myrobalanaceae","Myrtales",NA
"1007","Myrothamnaceae","Gunnerales",122
"1008","Myrrhiniaceae","Myrtales",NA
"1009","Myrsinaceae","Ericales",NA
"1010","Myrtaceae","Myrtales",222
"1011","Mystropetalaceae","Santalales",NA
"1012","Nageiaceae","Pinales",NA
"1013","Najadaceae","Alismatales",NA
"1014","Nandinaceae","Ranunculales",NA
"1015","Nanodeaceae","Santalales",NA
"1016","Napoleonaeaceae","Ericales",NA
"1017","Narcissaceae","Asparagales",NA
"1018","Nardaceae","Poales",NA
"1019","Nartheciaceae","Dioscoreales",44
"1020","Nassauviaceae","Asterales",NA
"1021","Naucleaceae","Gentianales",NA
"1022","Nectaropetalaceae","Malpighiales",NA
"1023","Neilliaceae","Rosales",NA
"1024","Nelsoniaceae","Lamiales",NA
"1025","Nelumbonaceae","Proteales",116
"1026","Nemacladaceae","Asterales",NA
"1027","Neocallitropsidaceae","Pinales",NA
"1028","Neottiaceae","Asparagales",NA
"1029","Nepenthaceae","Caryophyllales",288
"1030","Nepetaceae","Lamiales",NA
"1031","Nesogenaceae","Lamiales",NA
"1032","Neuradaceae","Malvales",249
"1033","Neuwiediaceae","Asparagales",NA
"1034","Nhandirobaceae","Cucurbitales",NA
"1035","Nicotianaceae","Solanales",NA
"1036","Nigellaceae","Ranunculales",NA
"1037","Nitrariaceae","Sapindales",236
"1038","Nolanaceae","Solanales",NA
"1039","Nolinaceae","Asparagales",NA
"1040","Nonateliaceae","Gentianales",NA
"1041","Nopaleaceae","Caryophyllales",NA
"1042","Noranteaceae","Ericales",NA
"1043","Nothofagaceae","Fagales",156
"1044","Nupharaceae","Nymphaeales",NA
"1045","Nuytsiaceae","Santalales",NA
"1046","Nyctaginaceae","Caryophyllales",307
"1047","Nyctanthaceae","Lamiales",NA
"1048","Nymphaeaceae","Nymphaeales",4
"1049","Nypaceae","Arecales",NA
"1050","Nyssaceae","Cornales",NA
"1051","Obolariaceae","Gentianales",NA
"1052","Ochnaceae","Malpighiales",187
"1053","Ochranthaceae","Crossosomatales",NA
"1054","Octoknemaceae","Santalales",NA
"1055","Oenotheraceae","Myrtales",NA
"1056","Oftiaceae","Lamiales",NA
"1057","Olacaceae","Santalales",277
"1058","Oleaceae","Lamiales",364
"1059","Oliniaceae","Myrtales",NA
"1060","Olyraceae","Poales",NA
"1061","Onagraceae","Myrtales",220
"1062","Oncothecaceae","NearGarryales,asteridI",345
"1063","Onosmaceae","Boraginales",NA
"1064","Operculariaceae","Gentianales",NA
"1065","Ophiopogonaceae","Asparagales",NA
"1066","Ophioxylaceae","Gentianales",NA
"1067","Ophiraceae","Cornales",NA
"1068","Ophiuraceae","Poales",NA
"1069","Ophrydaceae","Asparagales",NA
"1070","Opiliaceae","Santalales",278
"1071","Oporanthaceae","Asparagales",NA
"1072","Opuntiaceae","Caryophyllales",NA
"1073","Orchidaceae","Asparagales",62
"1074","Ornithogalaceae","Asparagales",NA
"1075","Ornithrophaceae","Sapindales",NA
"1076","Orobanchaceae","Lamiales",376
"1077","Orontiaceae","Alismatales",NA
"1078","Ortegaceae","Caryophyllales",NA
"1079","Oryzaceae","Poales",NA
"1080","Osyridaceae","Santalales",NA
"1081","Oxalidaceae","Oxalidales",175
"1082","Oxycladaceae","Lamiales",NA
"1083","Oxycoccaceae","Ericales",NA
"1084","Oxystylidaceae","Brassicales",NA
"1085","Pachysandraceae","Buxales",NA
"1086","Pacouriaceae","Gentianales",NA
"1087","Paeoniaceae","Saxifragales",126
"1088","Pagamaeaceae","Gentianales",NA
"1089","Paivaeusaceae","Malpighiales",NA
"1090","Palmae","Arecales",NA
"1091","Pancratiaceae","Asparagales",NA
"1092","Pandaceae","Malpighiales",180
"1093","Pandanaceae","Pandanales",51
"1094","Pangiaceae","Malpighiales",NA
"1095","Panicaceae","Poales",NA
"1096","Papaveraceae","Ranunculales",109
"1097","Papayaceae","Brassicales",NA
"1098","Papilionaceae","Fabales",NA
"1099","Pappophoraceae","Poales",NA
"1100","Papyraceae","Poales",NA
"1101","Paracryphiaceae","Paracryphiales",404
"1102","Parasitaxaceae","Pinales",NA
"1103","Parianaceae","Poales",NA
"1104","Paridaceae","Liliales",NA
"1105","Parnassiaceae","Celastrales",NA
"1106","Paronychiaceae","Caryophyllales",NA
"1107","Paropsiaceae","Malpighiales",NA
"1108","Parrotiaceae","Saxifragales",NA
"1109","Partheniaceae","Asterales",NA
"1110","Paspalaceae","Poales",NA
"1111","Passifloraceae","Malpighiales",199
"1112","Pastinacaceae","Apiales",NA
"1113","Paulliniaceae","Sapindales",NA
"1114","Paulowniaceae","Lamiales",375
"1115","Paviaceae","Sapindales",NA
"1116","Pectiantiaceae","Saxifragales",NA
"1117","Pedaliaceae","Lamiales",372
"1118","Pedicularidaceae","Lamiales",NA
"1119","Peganaceae","Sapindales",NA
"1120","Peliosanthaceae","Asparagales",NA
"1121","Pellicieraceae","Ericales",NA
"1122","Penaeaceae","Myrtales",226
"1123","Pennantiaceae","Apiales",407
"1124","Pentadiplandraceae","Brassicales",268
"1125","Pentapetaceae","Malvales",NA
"1126","Pentaphragmataceae","Asterales",392
"1127","Pentaphylacaceae","Ericales",330
"1128","Pentastemonaceae","Pandanales",NA
"1129","Penthoraceae","Saxifragales",137
"1130","Peperomiaceae","Piperales",NA
"1131","Peraceae","Malpighiales",NA
"1132","Perdiciaceae","Asterales",NA
"1133","Peridiscaceae","Saxifragales",125
"1134","Periplocaceae","Gentianales",NA
"1135","Peripterygiaceae","Aquifoliales",NA
"1136","Perseaceae","Laurales",NA
"1137","Persicariaceae","Caryophyllales",NA
"1138","Petenaeaceae","Huerteales",NA
"1139","Petermanniaceae","Liliales",54
"1140","Petiveriaceae","Caryophyllales",NA
"1141","Petreaceae","Lamiales",NA
"1142","Petrosaviaceae","Petrosaviales",43
"1143","Phalaridaceae","Poales",NA
"1144","Phaleriaceae","Malvales",NA
"1145","Pharaceae","Poales",NA
"1146","Pharnaceaceae","Caryophyllales",NA
"1147","Phaseolaceae","Fabales",NA
"1148","Phellinaceae","Asterales",395
"1149","Phelypaeaceae","Lamiales",NA
"1150","Pherosphaeraceae","Pinales",NA
"1151","Philadelphaceae","Cornales",NA
"1152","Philesiaceae","Liliales",57
"1153","Philippodendraceae","Malvales",NA
"1154","Philocrenaceae","Malpighiales",NA
"1155","Philodendraceae","Alismatales",NA
"1156","Philydraceae","Commelinales",79
"1157","Phleaceae","Poales",NA
"1158","Phoenicaceae","Arecales",NA
"1159","Phoradendraceae","Santalales",NA
"1160","Phormiaceae","Asparagales",NA
"1161","Phrymaceae","Lamiales",374
"1162","Phylicaceae","Rosales",NA
"1163","Phyllanthaceae","Malpighiales",189
"1164","Phyllocladaceae","Pinales",NA
"1165","Phyllonomaceae","Aquifoliales",387
"1166","Physenaceae","Caryophyllales",294
"1167","Phytelephantaceae","Arecales",NA
"1168","Phytocrenaceae","nearGarryales",NA
"1169","Phytolaccaceae","Caryophyllales",305
"1170","Piceaceae","Pinales",NA
"1171","Picramniaceae","Picramniales",234
"1172","Picridaceae","Asterales",NA
"1173","Picrodendraceae","Malpighiales",188
"1174","Pilgerodendraceae","Pinales",NA
"1175","Pilocarpaceae","Sapindales",NA
"1176","Pimpinellaceae","Apiales",NA
"1177","Pinaceae","Pinales",NA
"1178","Pinguiculaceae","Lamiales",NA
"1179","Piperaceae","Piperales",12
"1180","Piriquetaceae","Malpighiales",NA
"1181","Pisoniaceae","Caryophyllales",NA
"1182","Pistaciaceae","Sapindales",NA
"1183","Pistiaceae","Alismatales",NA
"1184","Pittosporaceae","Apiales",410
"1185","Plagianthaceae","Malvales",NA
"1186","Plagiopteraceae","Celastrales",NA
"1187","Plantaginaceae","Lamiales",368
"1188","Platanaceae","Proteales",117
"1189","Platycaryaceae","Fagales",NA
"1190","Platycladaceae","Pinales",NA
"1191","Platyspermataceae","Asterales",NA
"1192","Platystemonaceae","Ranunculales",NA
"1193","Plectroniaceae","Myrtales",NA
"1194","Pleurisanthaceae","nearGarryales",NA
"1195","Plocospermataceae","Lamiales",362
"1196","Plumbaginaceae","Caryophyllales",285
"1197","Plumeriaceae","Gentianales",NA
"1198","Poaceae","Poales",106
"1199","Podoaceae","Sapindales",NA
"1200","Podocarpaceae","Pinales",NA
"1201","Podophyllaceae","Ranunculales",NA
"1202","Podostemaceae","Malpighiales",213
"1203","Polemoniaceae","Ericales",327
"1204","Poliothyrsidaceae","Malpighiales",NA
"1205","Polpodaceae","Caryophyllales",NA
"1206","Polycarpaeaceae","Caryophyllales",NA
"1207","Polycnemaceae","Caryophyllales",NA
"1208","Polygalaceae","Fabales",146
"1209","Polygonaceae","Caryophyllales",286
"1210","Polygonanthaceae","Cucurbitales",NA
"1211","Polygonataceae","Asparagales",NA
"1212","Polyosmaceae","Escalloniales",NA
"1213","Pontederiaceae","Commelinales",80
"1214","Poranaceae","Solanales",NA
"1215","Porantheraceae","Malpighiales",NA
"1216","Portulacaceae","Caryophyllales",314
"1217","Portulacariaceae","Caryophyllales",NA
"1218","Posidoniaceae","Alismatales",40
"1219","Potaliaceae","Gentianales",NA
"1220","Potamogetonaceae","Alismatales",39
"1221","Potentillaceae","Rosales",NA
"1222","Poteriaceae","Rosales",NA
"1223","Pothaceae","Alismatales",NA
"1224","Pottingeriaceae","Celastrales",NA
"1225","Primulaceae","Ericales",333
"1226","Prioniaceae","Poales",NA
"1227","Prionotaceae","Ericales",NA
"1228","Prockiaceae","Malpighiales",NA
"1229","Proteaceae","Proteales",118
"1230","Prumnopityaceae","Pinales",NA
"1231","Prunaceae","Rosales",NA
"1232","Pseliaceae","Ranunculales",NA
"1233","Pseudanthaceae","Malpighiales",NA
"1234","Pseudophoenicaceae","Arecales",NA
"1235","Psiloxylaceae","Myrtales",NA
"1236","Psittacanthaceae","Santalales",NA
"1237","Psychotriaceae","Gentianales",NA
"1238","Psylliaceae","Lamiales",NA
"1239","Ptaeroxylaceae","Sapindales",NA
"1240","Pteleaceae","Sapindales",NA
"1241","Pteleocarpaceae","Gentianales",NA
"1242","Pteridophyllaceae","Ranunculales",NA
"1243","Pterisanthaceae","Vitales",NA
"1244","Pterostemonaceae","Saxifragales",NA
"1245","Punicaceae","Myrtales",NA
"1246","Putranjivaceae","Malpighiales",198
"1247","Pycnanthaceae","Orchidaceae",NA
"1248","Pyraceae","Rosales",NA
"1249","Pyrolaceae","Ericales",NA
"1250","Quassiaceae","Sapindales",NA
"1251","Quercaceae","Fagales",NA
"1252","Quiinaceae","Malpighiales",NA
"1253","Quillajaceae","Fabales",143
"1254","Quintiniaceae","Paracryphiales",NA
"1255","Rafflesiaceae","Malpighiales",183
"1256","Ramondaceae","Lamiales",NA
"1257","Randiaceae","Gentianales",NA
"1258","Ranunculaceae","Ranunculales",114
"1259","Ranzaniaceae","Ranunculales",NA
"1260","Rapateaceae","Poales",93
"1261","Raphanaceae","Brassicales",NA
"1262","Reaumuriaceae","Caryophyllales",NA
"1263","Rehmanniaceae","Lamiales",NA
"1264","Resedaceae","Brassicales",270
"1265","Restionaceae","Poales",102
"1266","Retziaceae","Lamiales",NA
"1267","Rhabdodendraceae","Caryophyllales",292
"1268","Rhamnaceae","Rosales",151
"1269","Rhaptopetalaceae","Ericales",NA
"1270","Rhexiaceae","Myrtales",NA
"1271","Rhinanthaceae","Lamiales",NA
"1272","Rhipogonaceae","Liliales",NA
"1273","Rhizophoraceae","Malpighiales",181
"1274","Rhoaceae","Sapindales",NA
"1275","Rhodiolaceae","Saxifragales",NA
"1276","Rhododendraceae","Ericales",NA
"1277","Rhodolaenaceae","Malvales",NA
"1278","Rhodoleiaceae","Saxifragales",NA
"1279","Rhodoraceae","Ericales",NA
"1280","Rhodotypaceae","Rosales",NA
"1281","Rhoipteleaceae","Fagales",NA
"1282","Rhopalocarpaceae","Malvales",NA
"1283","Rhynchocalycaceae","Myrtales",NA
"1284","Rhynchothecaceae","Geraniales",NA
"1285","Ribesiaceae","Saxifragales",NA
"1286","Ricinaceae","Malpighiales",NA
"1287","Ricinocarpaceae","Malpighiales",NA
"1288","Riviniaceae","Caryophyllales",NA
"1289","Roridulaceae","Ericales",339
"1290","Rosaceae","Rosales",147
"1291","Rousseaceae","Asterales",390
"1292","Roxburghiaceae","Pandanales",NA
"1293","Rubiaceae","Gentianales",350
"1294","Rumicaceae","Caryophyllales",NA
"1295","Ruppiaceae","Alismatales",41
"1296","Ruscaceae","Asparagales",NA
"1297","Rutaceae","Sapindales",241
"1298","Sabalaceae","Arecales",NA
"1299","Sabiaceae","Sabiales",115
"1300","Sabiceaceae","Gentianales",NA
"1301","Sabulinaceae","Caryophyllales",NA
"1302","Saccharaceae","Poales",NA
"1303","Saccifoliaceae","Gentianales",NA
"1304","Sagaceae","Arecales",NA
"1305","Saginaceae","Caryophyllales",NA
"1306","Sagoneaceae","Solanales",NA
"1307","Salaciaceae","Celastrales",NA
"1308","Salaxidaceae","Ericales",NA
"1309","Salazariaceae","Lamiales",NA
"1310","Salicaceae","Malpighiales",201
"1311","Salicorniaceae","Caryophyllales",NA
"1312","Salpiglossidaceae","Solanales",NA
"1313","Salsolaceae","Caryophyllales",NA
"1314","Salvadoraceae","Brassicales",265
"1315","Salviaceae","Lamiales",NA
"1316","Sambucaceae","Dipsacales",NA
"1317","Samolaceae","Ericales",NA
"1318","Samydaceae","Malpighiales",NA
"1319","Sanguisorbaceae","Rosales",NA
"1320","Saniculaceae","Apiales",NA
"1321","Sansevieriaceae","Asparagales",NA
"1322","Santalaceae","Santalales",279
"1323","Santolinaceae","Asterales",NA
"1324","Sapindaceae","Sapindales",240
"1325","Sapotaceae","Ericales",331
"1326","Sarbaicarpaceae","fossilSarbaicarpales,??near""Hamamelidales""",NA
"1327","Sarcobataceae","Caryophyllales",306
"1328","Sarcocaceae","Caryophyllales",NA
"1329","Sarcolaenaceae","Malvales",254
"1330","Sarcophytaceae","Santalales",NA
"1331","Sarcospermataceae","Ericales",NA
"1332","Sarcostigmataceae","nearGarryales",NA
"1333","Sargentodoxaceae","Ranunculales",NA
"1334","Sarraceniaceae","Ericales",338
"1335","Saturejaceae","Lamiales",NA
"1336","Saurauiaceae","Ericales",NA
"1337","Saururaceae","Piperales",11
"1338","Sauvagesiaceae","Malpighiales",NA
