"","KEW_FAMILY_EXT","QUERY","KEW_GENUS_EXT"
"122","Acanthaceae","Chorisochora","Chorisochora"
"123","Acanthaceae","Chrestienia","Pseuderanthemum"
"124","Acanthaceae","Chroesthes","Chroesthes"
"125","Acanthaceae","Clarkeasia","Clarkeasia"
"126","Acanthaceae","Clinacanthus","Clinacanthus"
"127","Acanthaceae","Clistax","Clistax"
"128","Acanthaceae","Codonacanthus","Codonacanthus"
"129","Acanthaceae","Conocalyx","Conocalyx"
"130","Acanthaceae","Copioglossa","Ruellia"
"131","Acanthaceae","Corymbostachys","Justicia"
"132","Acanthaceae","Corythacanthus","Corythacanthus"
"133","Acanthaceae","Cosmianthemum","Cosmianthemum"
"134","Acanthaceae","Crabbea","Crabbea"
"135","Acanthaceae","Crateola","Crateola"
"136","Acanthaceae","Croftia","Carlowrightia"
"137","Acanthaceae","Crossandra","Crossandra"
"138","Acanthaceae","Crossandrella","Crossandrella"
"139","Acanthaceae","Cryphiacanthus","Cryphiacanthus"
"140","Acanthaceae","Cryptophragmium","Gymnostachyum"
"141","Acanthaceae","Ctenopaepale","Strobilanthes"
"142","Acanthaceae","Cuenotia","Cuenotia"
"143","Acanthaceae","Cyclacanthus","Cyclacanthus"
"144","Acanthaceae","Cylindrosolenium","Cylindrosolenium"
"145","Acanthaceae","Cynarospermum","Cynarospermum"
"146","Acanthaceae","Cyphacanthus","Cyphacanthus"
"147","Acanthaceae","Cyphisia","Justicia"
"148","Acanthaceae","Cyrtacanthus","Cyrtacanthus"
"149","Acanthaceae","Cyrtanthera","Justicia"
"150","Acanthaceae","Cyrtantherella","Justicia"
"151","Acanthaceae","Cystacanthus","Cystacanthus"
"152","Acanthaceae","Dactylostegium","Dicliptera"
"153","Acanthaceae","Daedalacanthus","Eranthemum"
"154","Acanthaceae","Danguya","Danguya"
"155","Acanthaceae","Dasytropis","Dasytropis"
"156","Acanthaceae","Delphinacanthus","Pseudodicliptera"
"157","Acanthaceae","Diapedium","Diapedium"
"158","Acanthaceae","Diateinacanthus","Odontonema"
"159","Acanthaceae","Dicentranthera","Asystasia"
"160","Acanthaceae","Dichazothece","Dichazothece"
"161","Acanthaceae","Dicladanthera","Dicladanthera"
"162","Acanthaceae","Dicliptera","Dicliptera"
"163","Acanthaceae","Dicranacanthus","Barleria"
"164","Acanthaceae","Didyplosandra","Strobilanthes"
"165","Acanthaceae","Diflugossa","Strobilanthes"
"166","Acanthaceae","Digyroloma","Digyroloma"
"167","Acanthaceae","Dimanisa","Justicia"
"168","Acanthaceae","Dinteracanthus","Ruellia"
"169","Acanthaceae","Diotacanthus","Diotacanthus"
"170","Acanthaceae","Dipteracanthus","Ruellia"
"171","Acanthaceae","Dischistocalyx","Dischistocalyx"
"172","Acanthaceae","Distichocalyx","Dischistocalyx"
"173","Acanthaceae","Ditrichospermum","Strobilanthes"
"174","Acanthaceae","Dizygandra","Dizygandra"
"175","Acanthaceae","Dolichostachys","Dolichostachys"
"176","Acanthaceae","Dossifluga","Strobilanthes"
"177","Acanthaceae","Drejera","Drejera"
"178","Acanthaceae","Drejerella","Justicia"
"179","Acanthaceae","Duosperma","Duosperma"
"180","Acanthaceae","Duvernoia","Justicia"
"181","Acanthaceae","Dyschoriste","Dyschoriste"
"182","Acanthaceae","Dyspemptemorion","Justicia"
"183","Acanthaceae","Earlia","Earlia"
"184","Acanthaceae","Eberlea","Eberlea"
"185","Acanthaceae","Ebermaiera","Staurogyne"
"186","Acanthaceae","Ecbolium","Ecbolium"
"187","Acanthaceae","Echinacanthus","Echinacanthus"
"188","Acanthaceae","Echinopaepale","Strobilanthes"
"189","Acanthaceae","Ecteinanthus","Isoglossa"
"190","Acanthaceae","Elytraria","Elytraria"
"191","Acanthaceae","Emularia","Justicia"
"192","Acanthaceae","Encephalosphaera","Encephalosphaera"
"193","Acanthaceae","Endosiphon","Ruellia"
"194","Acanthaceae","Epiclastopelma","Epiclastopelma"
"195","Acanthaceae","Eranthemum","Eranthemum"
"196","Acanthaceae","Eremomastax","Eremomastax"
"197","Acanthaceae","Eriostrobilus","Strobilanthes"
"198","Acanthaceae","Erythracanthus","Staurogyne"
"199","Acanthaceae","Ethesia","Justicia"
"200","Acanthaceae","Eusiphon","Eusiphon"
"201","Acanthaceae","Fabria","Fabria"
"202","Acanthaceae","Filetia","Filetia"
"203","Acanthaceae","Fittonia","Fittonia"
"204","Acanthaceae","Flavicoma","Flavicoma"
"205","Acanthaceae","Forcipella","Forcipella"
"206","Acanthaceae","Forsythiopsis","Oplonia"
"207","Acanthaceae","Gantelbua","Hemigraphis"
"208","Acanthaceae","Gatesia","Yeatesia"
"209","Acanthaceae","Geissomeria","Geissomeria"
"210","Acanthaceae","Gendarussa","Justicia"
"211","Acanthaceae","Gilletiella","Anomacanthus"
"212","Acanthaceae","Glockeria","Habracanthus"
"213","Acanthaceae","Glosarithys","Justicia"
"214","Acanthaceae","Glossochilus","Glossochilus"
"215","Acanthaceae","Golaea","Golaea"
"216","Acanthaceae","Goldfussia","Strobilanthes"
"217","Acanthaceae","Graphandra","Graphandra"
"218","Acanthaceae","Graptophyllum","Graptophyllum"
"219","Acanthaceae","Gutzlaffia","Strobilanthes"
"220","Acanthaceae","Gymapsis","Strobilanthes"
"221","Acanthaceae","Gymnacanthus","Ruellia"
"222","Acanthaceae","Gymnophragma","Gymnophragma"
"223","Acanthaceae","Gymnostachyum","Gymnostachyum"
"224","Acanthaceae","Gynocraterium","Gynocraterium"
"225","Acanthaceae","Gypsacanthus","Gypsacanthus"
"226","Acanthaceae","Habracanthus","Habracanthus"
"227","Acanthaceae","Haemacanthus","Satanocrater"
"228","Acanthaceae","Hallieracantha","Ptyssiglottis"
"229","Acanthaceae","Hansteinia","Habracanthus"
"230","Acanthaceae","Haplanthera","Ruttya"
"231","Acanthaceae","Haplanthodes","Haplanthodes"
"232","Acanthaceae","Haplanthoides","Andrographis"
"233","Acanthaceae","Haplanthus","Andrographis"
"234","Acanthaceae","Harnieria","Justicia"
"235","Acanthaceae","Harpochilus","Harpochilus"
"236","Acanthaceae","Harrachia","Crossandra"
"237","Acanthaceae","Haselhoffia","Physacanthus"
"238","Acanthaceae","Heinzelia","Justicia"
"239","Acanthaceae","Hemiadelphis","Hygrophila"
"240","Acanthaceae","Hemichoriste","Justicia"
"241","Acanthaceae","Hemigraphis","Hemigraphis"
"242","Acanthaceae","Hemisandra","Aphelandra"
"243","Acanthaceae","Herpetacanthus","Herpetacanthus"
"244","Acanthaceae","Hesperanthemum","Hesperanthemum"
"245","Acanthaceae","Heteradelphia","Heteradelphia"
"246","Acanthaceae","Heteraspidia","Justicia"
"247","Acanthaceae","Hexacentris","Hexacentris"
"248","Acanthaceae","Himantochilus","Anisotes"
"249","Acanthaceae","Holographis","Holographis"
"250","Acanthaceae","Hoverdenia","Hoverdenia"
"251","Acanthaceae","Hulemacanthus","Hulemacanthus"
"252","Acanthaceae","Hydromestus","Aphelandra"
"253","Acanthaceae","Hygrophila","Hygrophila"
"254","Acanthaceae","Hymenochlaena","Strobilanthes"
"255","Acanthaceae","Hypoestes","Hypoestes"
"256","Acanthaceae","Ichthyostoma","Ichthyostoma"
"257","Acanthaceae","Idanthisa","Idanthisa"
"258","Acanthaceae","Indoneesiella","Indoneesiella"
"259","Acanthaceae","Ionacanthus","Ionacanthus"
"260","Acanthaceae","Isacanthus","Sclerochiton"
"261","Acanthaceae","Isaloa","Barleria"
"262","Acanthaceae","Isochoriste","Asystasia"
"263","Acanthaceae","Isoglossa","Isoglossa"
"264","Acanthaceae","Isotheca","Isotheca"
"265","Acanthaceae","Ixtlania","Justicia"
"266","Acanthaceae","Jacobinia","Justicia"
"267","Acanthaceae","Jadunia","Jadunia"
"268","Acanthaceae","Janasia","Janasia"
"269","Acanthaceae","Juruasia","Juruasia"
"270","Acanthaceae","Justicia","Justicia"
